Quarter,NaturalGas
1/1/2001,1899.766667
4/1/2001,1833.3
7/1/2001,1857.6
10/1/2001,1824.633333
1/1/2002,1839
4/1/2002,1958.633333
7/1/2002,1951.466667
10/1/2002,1969.5
1/1/2003,1943.366667
4/1/2003,1782.233333
7/1/2003,1815.266667
10/1/2003,1844.066667
1/1/2004,1891.133333
4/1/2004,1855.666667
7/1/2004,1796.566667
10/1/2004,1874.166667
1/1/2005,1851.833333
4/1/2005,1848.533333
7/1/2005,1849.833333
10/1/2005,1775.833333
1/1/2006,1712.033333
4/1/2006,1843.8
7/1/2006,1910.2
10/1/2006,1838.1
1/1/2007,1906.033333
4/1/2007,1909.366667
7/1/2007,1979.466667
10/1/2007,1920.9
1/1/2008,1973.133333
4/1/2008,1948.366667
7/1/2008,1861.2
10/1/2008,1927.8
1/1/2009,1927.566667
4/1/2009,1863.3
7/1/2009,1905.8
10/1/2009,1921
1/1/2010,1988.833333
4/1/2010,1945.133333
7/1/2010,2039.466667
10/1/2010,2036.633333
