Date,Close,Differenced
2/5/2001,53.84,-3.54
2/6/2001,53.2,-0.64
2/7/2001,54.66,1.46
2/8/2001,52.3,-2.36
2/9/2001,50.4,-1.9
2/12/2001,53.45,3.05
2/13/2001,54.1,0.65
2/14/2001,53,-1.1
2/15/2001,52,-1
2/16/2001,52.36,0.36
2/20/2001,53.4,1.04
2/21/2001,50.21,-3.19
2/22/2001,49.7,-0.51
2/23/2001,50.28,0.58
2/26/2001,51.07,0.79
2/27/2001,50.99,-0.08
2/28/2001,50.09,-0.9
3/1/2001,48.34,-1.75
3/2/2001,48.92,0.58
3/5/2001,48.37,-0.55
3/6/2001,49.55,1.18
3/7/2001,50.7,1.15
3/8/2001,51.65,0.95
3/9/2001,50.78,-0.87
3/12/2001,48.31,-2.47
3/13/2001,48.8,0.49
3/14/2001,47.2,-1.6
3/15/2001,47.85,0.65
3/16/2001,46.93,-0.92
3/19/2001,47.38,0.45
3/20/2001,47.88,0.5
3/21/2001,48.31,0.43
3/22/2001,46.91,-1.4
3/23/2001,47.57,0.66
3/26/2001,49.6,2.03
3/27/2001,50.29,0.69
3/28/2001,49.66,-0.63
3/29/2001,50.62,0.96
3/30/2001,50.5,-0.12
4/2/2001,50.64,0.14
4/3/2001,49.19,-1.45
4/4/2001,49.87,0.68
4/5/2001,50.54,0.67
4/6/2001,51.24,0.7
4/9/2001,50.3,-0.94
4/10/2001,50.84,0.54
4/11/2001,50.23,-0.61
4/12/2001,49.7,-0.53
4/16/2001,49.05,-0.65
4/17/2001,49.24,0.19
4/18/2001,52.73,3.49
4/19/2001,52.5,-0.23
4/20/2001,51.71,-0.79
4/23/2001,52.04,0.33
4/24/2001,50.1,-1.94
4/25/2001,50.67,0.57
4/26/2001,51.24,0.57
4/27/2001,52.83,1.59
4/30/2001,51.74,-1.09
5/1/2001,53.5,1.76
5/2/2001,53.08,-0.42
5/3/2001,53.1,0.02
5/4/2001,53.02,-0.08
5/7/2001,52.05,-0.97
5/8/2001,51.98,-0.07
5/9/2001,51.59,-0.39
5/10/2001,53.42,1.83
5/11/2001,54.1,0.68
5/14/2001,54.35,0.25
5/15/2001,52,-2.35
5/16/2001,51.65,-0.35
5/17/2001,51.76,0.11
5/18/2001,52.04,0.28
5/21/2001,53.2,1.16
5/22/2001,53.52,0.32
5/23/2001,52.52,-1
5/24/2001,52.89,0.37
5/25/2001,51.2,-1.69
5/29/2001,51.21,0.01
5/30/2001,51.47,0.26
5/31/2001,51.75,0.28
6/1/2001,51.72,-0.03
6/4/2001,50.99,-0.73
6/5/2001,51.3,0.31
6/6/2001,50.75,-0.55
6/7/2001,51.1,0.35
6/8/2001,51.02,-0.08
6/11/2001,50.23,-0.79
6/12/2001,50.57,0.34
6/13/2001,50.15,-0.42
6/14/2001,49.5,-0.65
6/15/2001,48.15,-1.35
6/18/2001,48.52,0.37
6/19/2001,48.86,0.34
6/20/2001,49.8,0.94
6/21/2001,50.45,0.65
6/22/2001,49.98,-0.47
6/25/2001,49,-0.98
6/26/2001,49.1,0.1
6/27/2001,48.5,-0.6
6/28/2001,49.37,0.87
6/29/2001,48.8,-0.57
7/2/2001,49.75,0.95
7/3/2001,49.22,-0.53
7/5/2001,48.6,-0.62
7/6/2001,47.34,-1.26
7/9/2001,48.25,0.91
7/10/2001,47.5,-0.75
7/11/2001,48.85,1.35
7/12/2001,51.85,3
7/13/2001,52.9,1.05
7/16/2001,53.48,0.58
7/17/2001,53.35,-0.13
7/18/2001,53.98,0.63
7/19/2001,54.23,0.25
7/20/2001,54.28,0.05
7/23/2001,53.03,-1.25
7/24/2001,53.1,0.07
7/25/2001,55.1,2
7/26/2001,55.5,0.4
7/27/2001,55.41,-0.09
7/30/2001,55.88,0.47
7/31/2001,55.9,0.02
8/1/2001,55.01,-0.89
8/2/2001,55.99,0.98
8/3/2001,55.39,-0.6
8/6/2001,54.5,-0.89
8/7/2001,55.08,0.58
8/8/2001,54.53,-0.55
8/9/2001,54.17,-0.36
8/10/2001,53.6,-0.57
8/13/2001,52.2,-1.4
8/14/2001,52.36,0.16
8/15/2001,52,-0.36
8/16/2001,51.69,-0.31
8/17/2001,50.8,-0.89
8/20/2001,51.59,0.79
8/21/2001,49.94,-1.65
8/22/2001,50.24,0.3
8/23/2001,49.74,-0.5
8/24/2001,50.95,1.21
8/27/2001,50.39,-0.56
8/28/2001,50.1,-0.29
8/29/2001,49.15,-0.95
8/30/2001,47.6,-1.55
8/31/2001,48.05,0.45
9/4/2001,48.45,0.4
9/5/2001,49.15,0.7
9/6/2001,47.37,-1.78
9/7/2001,46.22,-1.15
9/10/2001,46.23,0.01
9/17/2001,44,-2.23
9/18/2001,45.35,1.35
9/19/2001,45.45,0.1
9/20/2001,45.31,-0.14
9/21/2001,44.66,-0.65
9/24/2001,47.28,2.62
9/25/2001,48.4,1.12
9/26/2001,49.48,1.08
9/27/2001,49.39,-0.09
9/28/2001,49.5,0.11
10/1/2001,49.76,0.26
10/2/2001,51.6,1.84
10/3/2001,52.73,1.13
10/4/2001,51.5,-1.23
10/5/2001,52.4,0.9
10/8/2001,51.11,-1.29
10/9/2001,52.08,0.97
10/10/2001,53.63,1.55
10/11/2001,53.49,-0.14
10/12/2001,52.9,-0.59
10/15/2001,53.48,0.58
10/16/2001,53.14,-0.34
10/17/2001,52.22,-0.92
10/18/2001,51.9,-0.32
10/19/2001,53.01,1.11
10/22/2001,53.04,0.03
10/23/2001,52.61,-0.43
10/24/2001,52.48,-0.13
10/25/2001,53.3,0.82
10/26/2001,53.42,0.12
10/29/2001,51.9,-1.52
10/30/2001,50.6,-1.3
10/31/2001,51.4,0.8
11/1/2001,52.24,0.84
11/2/2001,52.97,0.73
11/5/2001,53.9,0.93
11/6/2001,54.94,1.04
11/7/2001,53.82,-1.12
11/8/2001,54.5,0.68
11/9/2001,55.1,0.6
11/12/2001,55.58,0.48
11/13/2001,54.26,-1.32
11/14/2001,55.28,1.02
11/15/2001,56,0.72
11/16/2001,55.1,-0.9
11/19/2001,55.75,0.65
11/20/2001,55.7,-0.05
11/21/2001,55.12,-0.58
11/23/2001,55.8,0.68
11/26/2001,55.75,-0.05
11/27/2001,55.08,-0.67
11/28/2001,55,-0.08
11/29/2001,54.65,-0.35
11/30/2001,55.15,0.5
12/3/2001,54.58,-0.57
12/4/2001,55.17,0.59
12/5/2001,56.57,1.4
12/6/2001,55.62,-0.95
12/7/2001,55.34,-0.28
12/10/2001,54.27,-1.07
12/11/2001,54.08,-0.19
12/12/2001,54.33,0.25
12/13/2001,53.36,-0.97
12/14/2001,54.06,0.7
12/17/2001,55.85,1.79
12/18/2001,55.78,-0.07
12/19/2001,56.28,0.5
12/20/2001,56.26,-0.02
12/21/2001,57.57,1.31
12/24/2001,57.13,-0.44
12/26/2001,58.15,1.02
12/27/2001,58.37,0.22
12/28/2001,58.35,-0.02
12/31/2001,57.55,-0.8
1/2/2002,58.05,0.5
1/3/2002,57.98,-0.07
1/4/2002,57.6,-0.38
1/7/2002,57.39,-0.21
1/8/2002,57.84,0.45
1/9/2002,56.4,-1.44
1/10/2002,57,0.6
1/11/2002,55.8,-1.2
1/14/2002,55.76,-0.04
1/15/2002,56.87,1.11
1/16/2002,55.99,-0.88
1/17/2002,56.76,0.77
1/18/2002,56.35,-0.41
1/22/2002,58.01,1.66
1/23/2002,59.86,1.85
1/24/2002,59.67,-0.19
1/25/2002,58.4,-1.27
1/28/2002,58.63,0.23
1/29/2002,57.91,-0.72
1/30/2002,59.75,1.84
1/31/2002,59.98,0.23
2/1/2002,59.26,-0.72
2/4/2002,58.9,-0.36
